"","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq"
"287","NullModel","1730502498",5,20,FALSE,FALSE,1
"288","NullModel","1730502500",5,20,FALSE,FALSE,1
"289","NullModel","1730502620",5,20,FALSE,FALSE,1
"290","NullModel","1730502649",5,20,FALSE,FALSE,1
"291","NullModel","1730502657",5,20,FALSE,FALSE,1
"292","NullModel","1730502660",5,20,FALSE,FALSE,1
"293","NullModel","1730502703",5,20,FALSE,FALSE,1
"294","NullModel","1730502710",5,20,FALSE,FALSE,1
"295","NullModel","1730502745",5,20,FALSE,FALSE,1
"296","NullModel","1730502761",5,20,FALSE,FALSE,1
"297","NullModel","1730502776",5,20,FALSE,FALSE,1
"298","NullModel","1730502784",5,20,FALSE,FALSE,1
"299","NullModel","1730502870",5,20,FALSE,FALSE,1
"300","NullModel","1730502906",5,20,FALSE,FALSE,1
"301","NullModel","1730502941",5,20,FALSE,FALSE,1
"302","NullModel","1730502995",5,20,FALSE,FALSE,1
"303","NullModel","1730503022",5,20,FALSE,FALSE,1
"304","NullModel","1730503055",5,20,FALSE,FALSE,1
"305","NullModel","1730503079",5,20,FALSE,FALSE,1
"306","NullModel","1730503100",5,20,FALSE,FALSE,1
"307","NullModel","1730503108",5,20,FALSE,FALSE,1
"308","NullModel","1730503110",5,20,FALSE,FALSE,1
"309","NullModel","1730503122",5,20,FALSE,FALSE,1
"310","NullModel","1730503156",5,20,FALSE,FALSE,1
"311","NullModel","1730503158",5,20,FALSE,FALSE,1
"312","NullModel","1730503200",5,20,FALSE,FALSE,1
"313","NullModel","1730503212",5,20,FALSE,FALSE,1
"314","NullModel","1730503221",5,20,FALSE,FALSE,1
"315","NullModel","1730503227",5,20,FALSE,FALSE,1
"316","NullModel","1730503273",5,20,FALSE,FALSE,1
"317","NullModel","1730503277",5,20,FALSE,FALSE,1
"318","NullModel","1730503368",5,20,FALSE,FALSE,1
"319","NullModel","1730503385",5,20,FALSE,FALSE,1
"320","NullModel","1730503422",5,20,FALSE,FALSE,1
"321","NullModel","1730503478",5,20,FALSE,FALSE,1
"322","NullModel","1730503485",5,20,FALSE,FALSE,1
"323","NullModel","1730503489",5,20,FALSE,FALSE,1
"324","NullModel","1730503490",5,20,FALSE,FALSE,1
"325","NullModel","1730503507",5,20,FALSE,FALSE,1
"326","NullModel","1730503540",5,20,FALSE,FALSE,1
"327","NullModel","1730503634",5,20,FALSE,FALSE,1
"328","NullModel","1730503644",5,20,FALSE,FALSE,1
"329","NullModel","1730503664",5,20,FALSE,FALSE,1
"330","NullModel","1730503672",5,20,FALSE,FALSE,1
"331","NullModel","1730503730",5,20,FALSE,FALSE,1
"332","NullModel","1730503775",5,20,FALSE,FALSE,1
"333","NullModel","1730503810",5,20,FALSE,FALSE,1
"334","NullModel","1730503823",5,20,FALSE,FALSE,1
"335","NullModel","1730503886",5,20,FALSE,FALSE,1
"336","NullModel","1730503895",5,20,FALSE,FALSE,1
"337","NullModel","1730503898",5,20,FALSE,FALSE,1
"338","NullModel","1730503900",5,20,FALSE,FALSE,1
"339","NullModel","1730503911",5,20,FALSE,FALSE,1
"340","NullModel","1730503923",5,20,FALSE,FALSE,1
"341","NullModel","1730503944",5,20,FALSE,FALSE,1
"342","NullModel","1730503981",5,20,FALSE,FALSE,1
"343","NullModel","1730503988",5,20,FALSE,FALSE,1
"344","NullModel","1730504001",5,20,FALSE,FALSE,1
"345","NullModel","1730504026",5,20,FALSE,FALSE,1
"346","NullModel","1730504036",5,20,FALSE,FALSE,1
"347","NullModel","1730504053",5,20,FALSE,FALSE,1
"348","NullModel","1730504078",5,20,FALSE,FALSE,1
"349","NullModel","1730504089",5,20,FALSE,FALSE,1
"350","NullModel","1730504136",5,20,FALSE,FALSE,1
"351","NullModel","1730504192",5,20,FALSE,FALSE,1
"352","NullModel","1730504228",5,20,FALSE,FALSE,1
"353","NullModel","1730504253",5,20,FALSE,FALSE,1
"354","NullModel","1730504257",5,20,FALSE,FALSE,1
"355","NullModel","1730504337",5,20,FALSE,FALSE,1
"356","NullModel","1730504357",5,20,FALSE,FALSE,1
"357","NullModel","1730504376",5,20,FALSE,FALSE,1
"358","NullModel","1730504417",5,20,FALSE,FALSE,1
"359","NullModel","1730504430",5,20,FALSE,FALSE,1
"360","NullModel","1730504431",5,20,FALSE,FALSE,1
"361","NullModel","1730504458",5,20,FALSE,FALSE,1
"362","NullModel","1730504483",5,20,FALSE,FALSE,1
"363","NullModel","1730504492",5,20,FALSE,FALSE,1
"364","NullModel","1730504505",5,20,FALSE,FALSE,1
"365","NullModel","1730504509",5,20,FALSE,FALSE,1
"366","NullModel","1730504513",5,20,FALSE,FALSE,1
"367","NullModel","1730504540",5,20,FALSE,FALSE,1
"368","NullModel","1730504541",5,20,FALSE,FALSE,1
"369","NullModel","1730504547",5,20,FALSE,FALSE,1
"370","NullModel","1730504566",5,20,FALSE,FALSE,1
"371","NullModel","1730504601",5,20,FALSE,FALSE,1
"372","NullModel","1730504609",5,20,FALSE,FALSE,1
"373","NullModel","1730504632",5,20,FALSE,FALSE,1
"374","NullModel","1730504673",5,20,FALSE,FALSE,1
"375","NullModel","1730504689",5,20,FALSE,FALSE,1
"376","NullModel","1730504720",5,20,FALSE,FALSE,1
"377","NullModel","1730504726",5,20,FALSE,FALSE,1
"378","NullModel","1730504731",5,20,FALSE,FALSE,1
"379","NullModel","1730504742",5,20,FALSE,FALSE,1
"380","NullModel","1730504803",5,20,FALSE,FALSE,1
"381","NullModel","1730504818",5,20,FALSE,FALSE,1
"382","NullModel","1730504859",5,20,FALSE,FALSE,1
"383","NullModel","1730504885",5,20,FALSE,FALSE,1
"384","NullModel","1730504911",5,20,FALSE,FALSE,1
"385","NullModel","1730504921",5,20,FALSE,FALSE,1
"386","NullModel","1730505000",5,20,FALSE,FALSE,1
"387","NullModel","1730505006",5,20,FALSE,FALSE,1
"388","NullModel","1730505015",5,20,FALSE,FALSE,1
"389","NullModel","1730505023",5,20,FALSE,FALSE,1
"390","NullModel","1730505040",5,20,FALSE,FALSE,1
"391","NullModel","1730505041",5,20,FALSE,FALSE,1
"392","NullModel","1730505042",5,20,FALSE,FALSE,1
"393","NullModel","1730505043",5,20,FALSE,FALSE,1
"394","NullModel","1730505075",5,20,FALSE,FALSE,1
"395","NullModel","1730505109",5,20,FALSE,FALSE,1
"396","NullModel","1730505154",5,20,FALSE,FALSE,1
"397","NullModel","1730505182",5,20,FALSE,FALSE,1
"398","NullModel","1730505218",5,20,FALSE,FALSE,1
"399","NullModel","1730505240",5,20,FALSE,FALSE,1
"400","NullModel","1730505273",5,20,FALSE,FALSE,1
"401","NullModel","1730505277",5,20,FALSE,FALSE,1
"402","NullModel","1730505291",5,20,FALSE,FALSE,1
"403","NullModel","1730505298",5,20,FALSE,FALSE,1
"404","NullModel","1730505301",5,20,FALSE,FALSE,1
"405","NullModel","1730505363",5,20,FALSE,FALSE,1
"406","NullModel","1730505414",5,20,FALSE,FALSE,1
"407","NullModel","1730505421",5,20,FALSE,FALSE,1
"408","NullModel","1730505430",5,20,FALSE,FALSE,1
"409","NullModel","1730505475",5,20,FALSE,FALSE,1
"410","NullModel","1730505509",5,20,FALSE,FALSE,1
"411","NullModel","1730505520",5,20,FALSE,FALSE,1
"412","NullModel","1730505558",5,20,FALSE,FALSE,1
"413","NullModel","1730505590",5,20,FALSE,FALSE,1
"414","NullModel","1730505649",5,20,FALSE,FALSE,1
"415","NullModel","1730505726",5,20,FALSE,FALSE,1
