"","modelType","seed","nCellType","nSample","Batch","CancerType","ARI"
"135","NullModel","1732165818",10,20,TRUE,TRUE,0.763231511938654
"136","HighVar0.1","1732165826",10,20,TRUE,TRUE,0.632338400678799
"137","HighVar0.16","1732165826",10,20,TRUE,TRUE,0.621048029913651
"138","HighVar0.23","1732165826",10,20,TRUE,TRUE,0.655964882260283
"139","HighVar0.3","1732165826",10,20,TRUE,TRUE,0.642234628908299
"140","HighVar0.4","1732165826",10,20,TRUE,TRUE,0.701638874357166
"141","NullModel","1732165826",10,20,TRUE,TRUE,0.728851170465751
"142","HighVar0.1","1732165832",10,20,TRUE,TRUE,0.74454404375993
"143","HighVar0.16","1732165832",10,20,TRUE,TRUE,0.726843402846517
"144","HighVar0.23","1732165832",10,20,TRUE,TRUE,0.754428011269357
"145","HighVar0.3","1732165832",10,20,TRUE,TRUE,0.634980218833651
"146","HighVar0.4","1732165832",10,20,TRUE,TRUE,0.72676456352752
"147","NullModel","1732165832",10,20,TRUE,TRUE,0.775437254427993
"148","HighVar0.1","1732165833",10,20,TRUE,TRUE,0.731374367194002
"149","HighVar0.16","1732165833",10,20,TRUE,TRUE,0.765033470030843
"150","HighVar0.23","1732165833",10,20,TRUE,TRUE,0.825020419175363
"151","HighVar0.3","1732165833",10,20,TRUE,TRUE,0.820076327552015
"152","HighVar0.4","1732165833",10,20,TRUE,TRUE,0.763630305417355
"153","NullModel","1732165833",10,20,TRUE,TRUE,0.859084222719146
"154","HighVar0.1","1732165835",10,20,TRUE,TRUE,0.652703653005
"155","HighVar0.16","1732165835",10,20,TRUE,TRUE,0.748290662395259
"156","HighVar0.23","1732165835",10,20,TRUE,TRUE,0.748494911736228
"157","HighVar0.3","1732165835",10,20,TRUE,TRUE,0.709329857022237
"158","HighVar0.4","1732165835",10,20,TRUE,TRUE,0.717407856220768
"159","NullModel","1732165835",10,20,TRUE,TRUE,0.708253642329437
"160","HighVar0.1","1732165843",10,20,TRUE,TRUE,0.679697520167481
"161","HighVar0.16","1732165843",10,20,TRUE,TRUE,0.60687180030269
"162","HighVar0.23","1732165843",10,20,TRUE,TRUE,0.662831595762645
"163","HighVar0.3","1732165843",10,20,TRUE,TRUE,0.60808598845334
"164","HighVar0.4","1732165843",10,20,TRUE,TRUE,0.608636293969693
"165","NullModel","1732165843",10,20,TRUE,TRUE,0.641527679542159
"166","HighVar0.1","1732165847",10,20,TRUE,TRUE,0.853942341120447
"167","HighVar0.16","1732165847",10,20,TRUE,TRUE,0.850735798120241
"168","HighVar0.23","1732165847",10,20,TRUE,TRUE,0.825048691232145
"169","HighVar0.3","1732165847",10,20,TRUE,TRUE,0.827025626863553
"170","HighVar0.4","1732165847",10,20,TRUE,TRUE,0.824843498009274
"171","NullModel","1732165847",10,20,TRUE,TRUE,0.826633475593486
"172","HighVar0.1","1732165852",10,20,TRUE,TRUE,0.688478989212349
"173","HighVar0.16","1732165852",10,20,TRUE,TRUE,0.658059540051115
"174","HighVar0.23","1732165852",10,20,TRUE,TRUE,0.639263890728965
"175","HighVar0.3","1732165852",10,20,TRUE,TRUE,0.616334950392026
"176","HighVar0.4","1732165852",10,20,TRUE,TRUE,0.690073634211082
"177","NullModel","1732165852",10,20,TRUE,TRUE,0.648207957031893
"178","HighVar0.1","1732165862",10,20,TRUE,TRUE,0.773234085784255
"179","HighVar0.16","1732165862",10,20,TRUE,TRUE,0.723364220269429
"180","HighVar0.23","1732165862",10,20,TRUE,TRUE,0.78491599349042
"181","HighVar0.3","1732165862",10,20,TRUE,TRUE,0.76812396207576
"182","HighVar0.4","1732165862",10,20,TRUE,TRUE,0.781240773370098
"183","NullModel","1732165862",10,20,TRUE,TRUE,0.775261646254874
"184","HighVar0.1","1732165884",10,20,TRUE,TRUE,0.774789387267657
"185","HighVar0.16","1732165884",10,20,TRUE,TRUE,0.776923083462039
"186","HighVar0.23","1732165884",10,20,TRUE,TRUE,0.738496762205616
"187","HighVar0.3","1732165884",10,20,TRUE,TRUE,0.722057326218733
"188","HighVar0.4","1732165884",10,20,TRUE,TRUE,0.774420996996564
