"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","max_llh","llh5","llh10","llh15","llh30","llh50","pooled_scSTMseq"
"141","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,30,5,-766331762.50545,-767799596.914292,-767108323.991022,-766848289.848228,-766533949.868077,-766392923.181944,0.852234691320735
"142","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,30,5,-807760271.07916,-808897846.567448,-808504781.005169,-808327610.637827,-808085950.344964,-807944204.566814,0.901799232953077
"143","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,30,5,-820134147.669039,-821123747.574567,-820774829.922512,-820614154.716737,-820419795.927823,-820277072.440019,0.943620988551514
"144","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,30,5,-719888889.966731,-721508145.501143,-720578769.821754,-720266992.971855,-719997961.278445,-719921787.377999,0.939215276313008
"145","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,30,5,-778659441.00734,-780513963.639561,-779639425.058317,-779307611.96422,-778913052.60734,-778737695.532872,0.945320869915995
"146","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763246",10,10,TRUE,TRUE,30,5,-822734771.53867,-823805854.133397,-823082849.608154,-822902717.736117,-822774743.25182,NA,0.982759382538141
"147","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763250",10,10,TRUE,TRUE,30,5,-696129254.682599,-698410426.05032,-697164004.241673,-696658331.812443,-696217315.949403,-696129254.682599,0.953654828173292
"148","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763254",10,10,TRUE,TRUE,30,5,-825778867.967998,-827186839.600402,-826411793.432548,-826158034.781083,-825857910.378795,-825781394.001618,0.95725303812667
"149","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763256",10,10,TRUE,TRUE,30,5,-750127024.259861,-751175870.326636,-750842873.177636,-750651128.89465,-750374984.224154,-750228604.503299,0.918292162096373
"150","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763269",10,10,TRUE,TRUE,30,5,-814625591.500398,-817181389.089036,-815869133.028366,-815394147.151965,-814880515.33622,-814695516.33805,0.887415383824445
"151","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763284",10,10,TRUE,TRUE,30,5,-703499945.401698,-708817323.870683,-705895032.58853,-704974941.683265,-704007096.36899,-703695851.081318,0.492208482091217
"152","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763287",10,10,TRUE,TRUE,30,5,-790407558.344537,-796806011.416716,-793215663.5845,-792018457.890298,-790885090.87213,-790550409.985272,0.821082158486929
"153","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763297",10,10,TRUE,TRUE,30,5,-748761693.677121,-750550135.197029,-749554846.950571,-749184998.907699,-748867308.475121,-748776245.36115,0.917371300504579
"154","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763305",10,10,TRUE,TRUE,30,5,-798962559.298867,-800109335.354502,-799707338.268928,-799489208.956585,-799204350.274167,-799034987.688865,0.965359771803217
"155","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763313",10,10,TRUE,TRUE,30,5,-722228574.053277,-723417934.171681,-722562634.875766,-722348121.201568,-722261253.847842,NA,0.975534179566207
"156","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763316",10,10,TRUE,TRUE,30,5,-789403337.846729,-790910324.87381,-790326662.173009,-790044516.685531,-789650957.809635,-789454485.151481,0.884902496159091
"157","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763321",10,10,TRUE,TRUE,30,5,-720648037.676515,-721649482.370215,-721260590.271119,-721088120.573085,-720889581.733746,-720769960.992172,0.827188882857812
"158","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763336",10,10,TRUE,TRUE,30,5,-767327240.39656,-768390304.854614,-767955231.770513,-767772964.518316,-767500460.022609,-767362483.218047,0.985279265004356
"159","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763365",10,10,TRUE,TRUE,30,5,-723729227.373808,-724413433.941396,-724185024.002657,-724050576.76156,-723854990.40312,-723753070.032029,0.958057411658453
"160","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763381",10,10,TRUE,TRUE,30,5,-806050116.190851,-807942661.371103,-806776587.59401,-806427197.747404,-806159681.589989,-806059717.416055,0.756822225056762
"161","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,30,50,-766329182.974197,-767799480.933474,-767108226.509198,-766848060.074144,-766532825.562619,-766392784.717813,0.85315978543924
"162","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,30,50,-807748683.601439,-808812446.036365,-808423161.547923,-808250520.730739,-808017002.071403,-807869634.957484,0.951658181667824
"163","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,30,50,-820135107.120785,-821123992.624746,-820774653.785144,-820613950.251244,-820419517.315264,-820276020.795076,0.942830963341212
"164","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,30,50,-719863309.699587,-720858177.961175,-720324587.359471,-720170792.0388,-720008008.181663,-719891924.713147,0.957119193761431
"165","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,30,50,-778659441.00734,-780513963.639561,-779639425.058317,-779307611.96422,-778913052.60734,-778737695.532872,0.945320869915995
"166","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763246",10,10,TRUE,TRUE,30,50,-822734771.53867,-823805854.133397,-823082849.608154,-822902717.736117,-822774743.25182,NA,0.982759382538141
"167","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763250",10,10,TRUE,TRUE,30,50,-696063219.591721,-701070420.000216,-698054771.751718,-697232388.134697,-696473038.946844,-696215604.30415,0.669790614010949
