"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","method","init_llh","llh5","llh10","llh15","llh30","llh50","max_llh","pooled_scSTMseq"
"71","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771278517.467823,-767839174.170795,-767157877.046492,-766901164.882862,-766642680.007712,NA,-766551379.299699,0.890076737930654
"72","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771278519.098336,-767839211.285675,-767157886.981684,-766901193.447463,-766643023.50321,-766513761.608455,-766350050.154378,0.83393941424916
"73","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771283993.607471,-767842027.763013,-767157667.145147,-766900948.275916,-766642984.354285,-766512529.919132,-766347883.790622,0.833578834418969
"74","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Spectral",-774205366.646433,-768407087.572483,-767234135.479905,-766787157.00263,-766455484.708522,-766375740.799663,-766374866.335011,0.86577940883674
"75","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-971031978.265588,-771419833.402476,-768673411.577827,-767869708.268861,-766969985.247673,-766663585.663871,-766494701.593463,0.708951391259791
"76","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-970709810.665269,-771544292.952507,-768843058.132732,-768023757.574632,-767045693.185962,-766656476.557907,-766444668.577945,0.657814127197001
"77","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-974956945.830083,-771641075.540446,-768899373.324495,-768019335.149302,-767123192.508132,-766708796.924265,-766347353.018719,0.595824898253092
"78","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-970693895.032064,-771704866.369444,-769070721.298026,-768213594.281099,-767335240.560757,-766915101.443505,-766492160.309445,0.523767590189777
"79","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-970534875.531745,-771770885.436382,-769001213.546042,-768176151.623379,-767361997.311721,-766958319.770414,-766490292.093318,0.42504509350595
"80","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-964428053.961185,-771913878.044762,-769028269.07212,-768242435.688293,-767313651.484528,-766827485.483707,-766432096.294666,0.416556060527724
"81","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-970332677.090702,-772013377.515465,-769220892.094646,-768259984.036919,-767248690.014269,-766762821.656917,-766457672.920753,0.470383182588559
"82","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-969729765.993154,-772072696.626292,-769379217.026792,-768486203.491568,-767479634.744191,-766994440.008208,-766535100.415758,0.376934697171325
"83","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-974508719.050848,-772204164.815531,-769328782.218552,-768377631.349585,-767366814.035062,-766872557.732182,-766478216.333219,0.642266241815633
"84","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"Random",-968455945.422054,-772322443.457718,-769423926.905714,-768431103.432791,-767281659.823548,-766815737.50222,-766485986.125756,0.537460969397402
"85","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810889665.040055,-808771696.278254,-808359280.27784,-808169100.020694,-807982562.978737,-807892021.298579,-807864705.062801,0.944678758542299
"86","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810885894.366295,-808873974.422621,-808473633.375882,-808272774.219247,-808042591.694672,-807920600.630425,-807822407.563432,0.953127394206475
"87","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810848999.358206,-808895568.626939,-808503074.624358,-808326281.871926,-808084224.516593,-807941500.67355,-807858397.894439,0.903644294033008
"88","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810845564.162233,-808897297.557662,-808504281.02889,-808327039.04684,-808085324.988683,NA,-808056670.089181,0.900736832062653
"89","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810845565.512019,-808897649.822527,-808504758.694074,-808327268.539932,-808085250.596221,-807943576.116031,-807756108.359287,0.90224877927683
"90","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810849036.29255,-808897687.436903,-808505052.836202,-808327832.524348,-808086566.84064,-807945293.883411,-807756931.716209,0.901970839941482
"91","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810845509.514564,-808897719.685868,-808504701.492335,-808327309.270709,-808085299.385157,-807943229.065551,-807756061.387721,0.902426021578786
"92","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810845573.272689,-808897841.429013,-808505015.81254,-808328988.671705,-808085854.866617,-807944135.662824,-807870278.20129,0.903133332374507
"93","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810848375.066373,-808906765.629488,-808512411.754876,-808336272.108433,-808096618.703539,-807962107.018543,-807771651.282806,0.898666206908773
"94","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"TopicScore",-810853410.519206,-808914731.052605,-808512696.579831,-808343255.341696,-808103784.460322,-807965321.306881,-807769877.065812,0.894962614701367
"95","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Spectral",-813977093.800751,-809137509.613897,-808360625.813776,-808109263.097319,-807869199.245817,NA,-807803434.955912,0.960917265102665
"96","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1028610330.68479,-812829667.184267,-809941674.591032,-809110958.080221,-808230469.108776,-807938850.490453,-807703872.198176,0.679417358681459
"97","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1029992333.66958,-812941202.371677,-810407352.566582,-809607864.980316,-808572147.458483,-808149494.698412,-807791020.734363,0.593548675487979
"98","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1028248834.10817,-813070731.233967,-810469219.715006,-809595426.109753,-808633543.603534,-808231560.176258,-807864120.942757,0.532523549881134
"99","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1026857581.43188,-813246214.008453,-810470141.172541,-809463394.692662,-808378698.004626,-807997067.424944,-807723447.397918,0.613920205380948
"100","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1023966901.76264,-813336710.411653,-810018230.808602,-809140380.361241,-808291256.910086,-807922551.275736,-807724371.273376,0.660595027782015
"101","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1027415436.20077,-813416586.478533,-810360168.057453,-809465922.353997,-808550079.332396,-808047920.200838,-807791538.883154,0.640845068641713
"102","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1029666427.71567,-813475077.501343,-810294793.410002,-809392813.459227,-808549063.832331,-808124886.82573,-807800859.784862,0.641017315335683
"103","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1022849662.14774,-813502301.679512,-810414810.684996,-809345815.609467,-808391013.381464,-807983519.169535,-807793817.106671,0.69065271104849
"104","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1026486427.22062,-813555815.35163,-810215701.0973,-809288092.881254,-808362977.928527,-807963882.322458,-807827891.979489,0.602590491135423
"105","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,10,"Random",-1027123289.74027,-813624738.994919,-810762168.785475,-809824855.940883,-808656940.566404,-808096612.399918,-807714947.631621,0.601307583401884
"106","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823232622.816038,-821122616.977935,-820774452.203794,-820614137.4805,-820419106.01361,-820274839.884982,-820132630.580375,0.944175071793399
